repository,metric,rank
openstack/openstack-ansible-rabbitmq_server,pdg_delta,6.0
openstack/openstack-ansible-rabbitmq_server,pdg_iac,14.0
openstack/openstack-ansible-rabbitmq_server,pdg_process,5.0
openstack/openstack-ansible-rabbitmq_server,delta_iac,12.0
openstack/openstack-ansible-rabbitmq_server,delta_process,1.0
openstack/openstack-ansible-rabbitmq_server,iac_process,10.0
openstack/openstack-ansible-rabbitmq_server,pdg_delta_iac,13.0
openstack/openstack-ansible-rabbitmq_server,pdg_delta_process,4.0
openstack/openstack-ansible-rabbitmq_server,pdg_iac_process,11.0
openstack/openstack-ansible-rabbitmq_server,delta_iac_process,8.0
openstack/openstack-ansible-rabbitmq_server,pdg_iac_delta_process,9.0
galaxyproject/ansible-galaxy,pdg,7.0
galaxyproject/ansible-galaxy,delta,2.0
galaxyproject/ansible-galaxy,iac,10.0
galaxyproject/ansible-galaxy,process,1.0
galaxyproject/ansible-galaxy,pdg_delta,6.0
galaxyproject/ansible-galaxy,pdg_iac,15.0
galaxyproject/ansible-galaxy,pdg_process,5.0
galaxyproject/ansible-galaxy,delta_iac,9.0
galaxyproject/ansible-galaxy,delta_process,3.0
galaxyproject/ansible-galaxy,iac_process,11.0
galaxyproject/ansible-galaxy,pdg_delta_iac,14.0
galaxyproject/ansible-galaxy,pdg_delta_process,4.0
galaxyproject/ansible-galaxy,pdg_iac_process,12.0
galaxyproject/ansible-galaxy,delta_iac_process,8.0
galaxyproject/ansible-galaxy,pdg_iac_delta_process,13.0
Oefenweb/ansible-percona-server,pdg,8.0
Oefenweb/ansible-percona-server,delta,1.0
Oefenweb/ansible-percona-server,iac,15.0
Oefenweb/ansible-percona-server,process,2.0
Oefenweb/ansible-percona-server,pdg_delta,6.0
Oefenweb/ansible-percona-server,pdg_iac,10.0
Oefenweb/ansible-percona-server,pdg_process,5.0
Oefenweb/ansible-percona-server,delta_iac,12.0
Oefenweb/ansible-percona-server,delta_process,3.0
Oefenweb/ansible-percona-server,iac_process,13.5
Oefenweb/ansible-percona-server,pdg_delta_iac,7.0
Oefenweb/ansible-percona-server,pdg_delta_process,4.0
Oefenweb/ansible-percona-server,pdg_iac_process,10.0
Oefenweb/ansible-percona-server,delta_iac_process,13.5
Oefenweb/ansible-percona-server,pdg_iac_delta_process,10.0
UnderGreen/ansible-role-mongodb,pdg,4.0
UnderGreen/ansible-role-mongodb,delta,1.0
UnderGreen/ansible-role-mongodb,iac,11.0
UnderGreen/ansible-role-mongodb,process,2.0
UnderGreen/ansible-role-mongodb,pdg_delta,6.0
UnderGreen/ansible-role-mongodb,pdg_iac,15.0
UnderGreen/ansible-role-mongodb,pdg_process,5.0
UnderGreen/ansible-role-mongodb,delta_iac,12.0
UnderGreen/ansible-role-mongodb,delta_process,3.0
UnderGreen/ansible-role-mongodb,iac_process,8.0
UnderGreen/ansible-role-mongodb,pdg_delta_iac,14.0
UnderGreen/ansible-role-mongodb,pdg_delta_process,7.0
UnderGreen/ansible-role-mongodb,pdg_iac_process,13.0
UnderGreen/ansible-role-mongodb,delta_iac_process,9.0
UnderGreen/ansible-role-mongodb,pdg_iac_delta_process,10.0
ansible-community/ansible-nomad,pdg,8.0
ansible-community/ansible-nomad,delta,1.0
ansible-community/ansible-nomad,iac,12.0
ansible-community/ansible-nomad,process,3.0
ansible-community/ansible-nomad,pdg_delta,6.0
ansible-community/ansible-nomad,pdg_iac,14.0
ansible-community/ansible-nomad,pdg_process,5.0
ansible-community/ansible-nomad,delta_iac,15.0
ansible-community/ansible-nomad,delta_process,2.0
ansible-community/ansible-nomad,iac_process,13.0
ansible-community/ansible-nomad,pdg_delta_iac,11.0
ansible-community/ansible-nomad,pdg_delta_process,4.0
ansible-community/ansible-nomad,pdg_iac_process,10.0
ansible-community/ansible-nomad,delta_iac_process,9.0
ansible-community/ansible-nomad,pdg_iac_delta_process,7.0
openstack/openstack-ansible-os_neutron,pdg,13.0
openstack/openstack-ansible-os_neutron,delta,3.0
openstack/openstack-ansible-os_neutron,iac,15.0
openstack/openstack-ansible-os_neutron,process,1.0
openstack/openstack-ansible-os_neutron,pdg_delta,5.0
openstack/openstack-ansible-os_neutron,pdg_iac,12.0
openstack/openstack-ansible-os_neutron,pdg_process,6.0
openstack/openstack-ansible-os_neutron,delta_iac,10.0
openstack/openstack-ansible-os_neutron,delta_process,2.0
openstack/openstack-ansible-os_neutron,iac_process,9.0
openstack/openstack-ansible-os_neutron,pdg_delta_iac,11.0
openstack/openstack-ansible-os_neutron,pdg_delta_process,4.0
openstack/openstack-ansible-os_neutron,pdg_iac_process,14.0
openstack/openstack-ansible-os_neutron,delta_iac_process,7.0
openstack/openstack-ansible-os_neutron,pdg_iac_delta_process,8.0
AlbanAndrieu/ansible-jenkins-slave,pdg,7.0
AlbanAndrieu/ansible-jenkins-slave,delta,3.0
AlbanAndrieu/ansible-jenkins-slave,iac,15.0
AlbanAndrieu/ansible-jenkins-slave,process,1.0
AlbanAndrieu/ansible-jenkins-slave,pdg_delta,6.0
AlbanAndrieu/ansible-jenkins-slave,pdg_iac,14.0
AlbanAndrieu/ansible-jenkins-slave,pdg_process,5.0
AlbanAndrieu/ansible-jenkins-slave,delta_iac,13.0
AlbanAndrieu/ansible-jenkins-slave,delta_process,2.0
AlbanAndrieu/ansible-jenkins-slave,iac_process,10.0
AlbanAndrieu/ansible-jenkins-slave,pdg_delta_iac,12.0
AlbanAndrieu/ansible-jenkins-slave,pdg_delta_process,4.0
AlbanAndrieu/ansible-jenkins-slave,pdg_iac_process,9.0
AlbanAndrieu/ansible-jenkins-slave,delta_iac_process,8.0
AlbanAndrieu/ansible-jenkins-slave,pdg_iac_delta_process,11.0
CoffeeITWorks/ansible_burp2_server,pdg,4.0
CoffeeITWorks/ansible_burp2_server,delta,3.0
CoffeeITWorks/ansible_burp2_server,iac,13.0
CoffeeITWorks/ansible_burp2_server,process,2.0
CoffeeITWorks/ansible_burp2_server,pdg_delta,7.0
CoffeeITWorks/ansible_burp2_server,pdg_iac,13.0
CoffeeITWorks/ansible_burp2_server,pdg_process,6.0
CoffeeITWorks/ansible_burp2_server,delta_iac,13.0
CoffeeITWorks/ansible_burp2_server,delta_process,1.0
CoffeeITWorks/ansible_burp2_server,iac_process,8.5
CoffeeITWorks/ansible_burp2_server,pdg_delta_iac,13.0
CoffeeITWorks/ansible_burp2_server,pdg_delta_process,5.0
CoffeeITWorks/ansible_burp2_server,pdg_iac_process,10.0
CoffeeITWorks/ansible_burp2_server,delta_iac_process,8.5
CoffeeITWorks/ansible_burp2_server,pdg_iac_delta_process,13.0
DataDog/ansible-datadog,pdg,10.0
DataDog/ansible-datadog,delta,1.0
DataDog/ansible-datadog,iac,15.0
DataDog/ansible-datadog,process,2.0
DataDog/ansible-datadog,pdg_delta,6.0
DataDog/ansible-datadog,pdg_iac,14.0
DataDog/ansible-datadog,pdg_process,5.0
DataDog/ansible-datadog,delta_iac,12.0
DataDog/ansible-datadog,delta_process,3.0
DataDog/ansible-datadog,iac_process,8.0
DataDog/ansible-datadog,pdg_delta_iac,11.0
DataDog/ansible-datadog,pdg_delta_process,4.0
DataDog/ansible-datadog,pdg_iac_process,13.0
DataDog/ansible-datadog,delta_iac_process,7.0
DataDog/ansible-datadog,pdg_iac_delta_process,9.0
oVirt/ovirt-ansible-disaster-recovery,pdg,9.0
oVirt/ovirt-ansible-disaster-recovery,delta,2.0
oVirt/ovirt-ansible-disaster-recovery,iac,12.0
oVirt/ovirt-ansible-disaster-recovery,process,3.0
oVirt/ovirt-ansible-disaster-recovery,pdg_delta,5.0
oVirt/ovirt-ansible-disaster-recovery,pdg_iac,14.0
oVirt/ovirt-ansible-disaster-recovery,pdg_process,6.0
oVirt/ovirt-ansible-disaster-recovery,delta_iac,10.0
oVirt/ovirt-ansible-disaster-recovery,delta_process,1.0
oVirt/ovirt-ansible-disaster-recovery,iac_process,13.0
oVirt/ovirt-ansible-disaster-recovery,pdg_delta_iac,15.0
oVirt/ovirt-ansible-disaster-recovery,pdg_delta_process,4.0
oVirt/ovirt-ansible-disaster-recovery,pdg_iac_process,8.0
oVirt/ovirt-ansible-disaster-recovery,delta_iac_process,11.0
oVirt/ovirt-ansible-disaster-recovery,pdg_iac_delta_process,7.0
stackbuilders/sb-debian-base,pdg,7.0
stackbuilders/sb-debian-base,delta,3.0
stackbuilders/sb-debian-base,iac,12.5
stackbuilders/sb-debian-base,process,1.0
stackbuilders/sb-debian-base,pdg_delta,5.0
stackbuilders/sb-debian-base,pdg_iac,12.5
stackbuilders/sb-debian-base,pdg_process,6.0
stackbuilders/sb-debian-base,delta_iac,12.5
stackbuilders/sb-debian-base,delta_process,2.0
stackbuilders/sb-debian-base,iac_process,12.5
stackbuilders/sb-debian-base,pdg_delta_iac,12.5
stackbuilders/sb-debian-base,pdg_delta_process,4.0
stackbuilders/sb-debian-base,pdg_iac_process,8.5
stackbuilders/sb-debian-base,delta_iac_process,8.5
stackbuilders/sb-debian-base,pdg_iac_delta_process,12.5
evrardjp/ansible-keepalived,pdg,12.0
evrardjp/ansible-keepalived,delta,2.0
evrardjp/ansible-keepalived,iac,13.0
evrardjp/ansible-keepalived,process,3.0
evrardjp/ansible-keepalived,pdg_delta,8.0
evrardjp/ansible-keepalived,pdg_iac,14.0
evrardjp/ansible-keepalived,pdg_process,6.0
evrardjp/ansible-keepalived,delta_iac,9.5
evrardjp/ansible-keepalived,delta_process,1.0
evrardjp/ansible-keepalived,iac_process,11.0
evrardjp/ansible-keepalived,pdg_delta_iac,15.0
evrardjp/ansible-keepalived,pdg_delta_process,4.0
evrardjp/ansible-keepalived,pdg_iac_process,9.5
evrardjp/ansible-keepalived,delta_iac_process,5.0
evrardjp/ansible-keepalived,pdg_iac_delta_process,7.0
cloudalchemy/ansible-node-exporter,pdg,7.0
cloudalchemy/ansible-node-exporter,delta,1.0
cloudalchemy/ansible-node-exporter,iac,9.0
